Date,Close/Last,Volume,Open,High,Low
08/24/2022,$47.07,14946490,$47.09,$47.405,$46.87
08/23/2022,$47.41,13596810,$47.59,$48.04,$47.39
08/22/2022,$47.71,20534050,$48.47,$48.5,$47.515
08/19/2022,$48.7,23130410,$49.01,$49.46,$48.535
08/18/2022,$49.37,39999940,$49.795,$50,$49.11
08/17/2022,$46.66,27975610,$46.36,$47.1,$46.225
08/16/2022,$46.77,21153700,$46.57,$47.01,$46.4401
08/15/2022,$46.59,15456070,$46.39,$46.62,$46.025
08/12/2022,$46.61,16967590,$46.09,$46.61,$45.97
08/11/2022,$45.9,15849320,$46.11,$46.425,$45.77
08/10/2022,$46.02,18935430,$45.71,$46.06,$45.43
08/09/2022,$44.92,12826330,$45.15,$45.18,$44.7249
08/08/2022,$45.02,15466670,$45.49,$45.52,$44.855
08/05/2022,$45.01,19533920,$44.91,$45.07,$44.54
08/04/2022,$45.38,15249320,$45.9,$45.93,$45.005
08/03/2022,$45.71,14943770,$44.9,$45.82,$44.79
08/02/2022,$44.92,15005410,$45.52,$45.7,$44.9019
08/01/2022,$45.28,14153360,$45.06,$45.427,$44.76
07/29/2022,$45.37,23701680,$45.11,$45.49,$44.83
07/28/2022,$45.62,17576190,$44.88,$45.865,$44.71
07/27/2022,$44.64,22348960,$44.19,$44.79,$43.83
07/26/2022,$43.83,19513030,$44.37,$44.54,$43.75
07/25/2022,$44.34,12954740,$44.66,$44.66,$44.11
07/22/2022,$44.46,14854640,$44.78,$44.92,$44.25
07/21/2022,$44.58,15364580,$44.29,$44.69,$44.07
07/20/2022,$44.13,15599220,$44.08,$44.315,$43.66
07/19/2022,$44.03,22861380,$42.82,$44.09,$42.65
07/18/2022,$42.6,16743800,$43.3,$43.32,$42.405
07/15/2022,$43.07,19897840,$42.5,$43.13,$42.5
07/14/2022,$42.33,17336230,$41.79,$42.47,$41.35
07/13/2022,$42.7,16854200,$41.854,$43.05,$41.8
07/12/2022,$42.86,17385310,$43.58,$43.83,$42.66
07/11/2022,$43.25,15279570,$43.34,$43.68,$43.07
07/08/2022,$43.39,11816980,$43.03,$43.605,$42.94
07/07/2022,$43.22,22316700,$42.88,$43.36,$42.79
07/06/2022,$42.69,17250440,$42.12,$42.93,$42.01
07/05/2022,$41.96,24448140,$41.52,$41.97,$40.82
07/01/2022,$42.6,24338550,$42.52,$42.7,$41.57
06/30/2022,$42.64,24947920,$42.37,$43.14,$42.19
06/29/2022,$42.88,13450790,$43.14,$43.26,$42.6938
06/28/2022,$43.06,20094260,$43.91,$44.4713,$42.99
06/27/2022,$43.77,22755300,$44.29,$44.29,$43.625
06/24/2022,$44.1,30543780,$43.44,$44.215,$43.24
06/23/2022,$42.93,33801720,$43.41,$43.46,$42.715
06/22/2022,$43.57,19942290,$43.47,$44.115,$43.17
06/21/2022,$44.14,23277880,$43.805,$44.28,$43.7
06/17/2022,$43.39,59678620,$43.36,$44.0001,$43.24
06/16/2022,$43.32,27049020,$42.81,$43.4099,$42.81
06/15/2022,$43.8,22525080,$43.37,$44.425,$43.0999
06/14/2022,$42.91,22499140,$43.63,$43.7,$42.57
06/13/2022,$43.24,29050820,$43.06,$43.84,$42.89
06/10/2022,$43.49,20267050,$43.8,$43.99,$43.29
06/09/2022,$44.26,18417690,$44.83,$45.27,$44.24
06/08/2022,$44.92,16263800,$45.45,$45.63,$44.88
06/07/2022,$45.57,14667230,$44.82,$45.65,$44.715
06/06/2022,$45.33,12641920,$45.603,$46.09,$45.125
06/03/2022,$45.25,17946970,$45.55,$45.74,$45.12
06/02/2022,$45.79,20546750,$45.18,$45.8,$44.895
06/01/2022,$45.23,20665970,$45.55,$45.8,$44.765
05/31/2022,$45.05,64821190,$45.27,$45.605,$44.735
05/27/2022,$45.62,23882060,$45.12,$45.64,$44.95
05/26/2022,$44.99,28294660,$44.05,$45.5256,$44.05
05/25/2022,$44,25504570,$43.75,$44.42,$43.19
05/24/2022,$43.77,30053850,$43.4,$44.06,$42.499
05/23/2022,$43.35,27366600,$43.34,$43.82,$42.94
05/20/2022,$42.94,46148680,$41.86,$43,$41.52
05/19/2022,$41.72,97674610,$43.055,$43.93,$41.02
05/18/2022,$48.36,40672700,$50.47,$50.47,$48.21
05/17/2022,$50.6,18780580,$49.68,$50.72,$49.51
05/16/2022,$49,20254530,$49.66,$49.66,$48.88
05/13/2022,$49.56,18954480,$48.71,$49.63,$48.53
05/12/2022,$48.29,25950960,$48.63,$48.78,$47.47
05/11/2022,$48.65,23872140,$49.09,$49.64,$48.575
05/10/2022,$49.55,21741120,$49.705,$50.235,$49.15
05/09/2022,$48.96,22421200,$49,$49.42,$48.67
05/06/2022,$49.33,21743860,$49.15,$49.835,$48.85
05/05/2022,$49.61,24846480,$51.15,$51.21,$49.155
05/04/2022,$51.58,23942300,$50.03,$51.655,$49.67
05/03/2022,$49.92,15828220,$49.77,$50.36,$49.53
05/02/2022,$49.86,22499250,$49.34,$49.9144,$48.93
04/29/2022,$48.98,20281440,$50.51,$50.64,$48.87
04/28/2022,$50.63,20170660,$49.53,$50.78,$49.205
04/27/2022,$49.31,33668560,$50.91,$51.11,$49.245
04/26/2022,$50.9,19238340,$51.875,$51.94,$50.87
04/25/2022,$51.94,18677040,$51.45,$51.98,$50.54
04/22/2022,$51.36,17692980,$52.92,$52.96,$51.29
04/21/2022,$52.78,17147260,$53.34,$53.83,$52.73
04/20/2022,$53.02,19526240,$52.22,$53.67,$52.15
04/19/2022,$51.83,15490880,$51,$51.935,$50.92
04/18/2022,$51.11,13990700,$50.88,$51.56,$50.8
04/14/2022,$51.17,18024830,$52.08,$52.38,$51.1207
04/13/2022,$52.15,17004590,$51.84,$52.36,$51.405
04/12/2022,$51.82,25254240,$51.7,$52.9501,$51.48
04/11/2022,$52.88,20992060,$53.92,$53.95,$52.785
04/08/2022,$54.28,18148380,$54.84,$54.91,$54.01
04/07/2022,$54.63,15738990,$54.43,$54.85,$53.735
04/06/2022,$54.37,19644090,$54.69,$54.76,$53.8432
04/05/2022,$54.92,16063610,$55.2,$55.59,$54.665
04/04/2022,$55.87,19645620,$55.46,$56.12,$54.99
04/01/2022,$55.66,17465150,$56.17,$56.19,$54.885
03/31/2022,$55.76,27587690,$56.04,$56.88,$55.72
03/30/2022,$56.05,16125420,$55.75,$56.94,$55.59
03/29/2022,$55.67,20036470,$55.67,$56.3138,$55.04
03/28/2022,$55.14,17164620,$54.8,$55.16,$54.42
03/25/2022,$54.97,18092380,$54.605,$55.18,$54.395
03/24/2022,$54.5,20551510,$54.67,$54.69,$53.68
03/23/2022,$54.48,19742130,$55.9,$56.09,$54.45
03/22/2022,$56.17,29287850,$56.36,$56.72,$56.09
03/21/2022,$56,29174580,$56.06,$56.545,$55.52
03/18/2022,$55.97,51807230,$56.03,$56.42,$55.54
03/17/2022,$56.17,18830690,$55.49,$56.3,$55.35
03/16/2022,$55.81,21821810,$55.93,$56,$54.6
03/15/2022,$55.6,18829100,$54.42,$55.725,$54.42
03/14/2022,$54.3,17977520,$54.73,$55.4,$53.995
03/11/2022,$54.69,20330310,$55.29,$56.21,$54.6
03/10/2022,$54.71,18550930,$54.4,$55.16,$53.97
03/09/2022,$55.92,19150860,$55.64,$56.245,$55.25
03/08/2022,$54.4,23642380,$55.7,$55.86,$54.0701
03/07/2022,$55.59,21350920,$56.31,$56.44,$55.52
03/04/2022,$56.51,16731550,$55.67,$56.895,$55.25
03/03/2022,$56.07,16794590,$56.74,$57,$55.835
03/02/2022,$56.15,18660050,$54.77,$56.38,$54.71
03/01/2022,$54.62,17799610,$55.53,$55.85,$54.26
02/28/2022,$55.77,23868700,$55.41,$56,$54.75
02/25/2022,$56.04,18963680,$54.98,$56.22,$54.49
02/24/2022,$54.73,27739340,$54.07,$54.83,$53.21
