Date,Close/Last,Volume,Open,High,Low
08/24/2022,$275.79,18137020,$275.41,$277.23,$275.11
08/23/2022,$276.44,17527410,$276.44,$278.86,$275.4
08/22/2022,$277.75,25061070,$282.08,$282.46,$277.22
08/19/2022,$286.15,20570030,$288.9,$289.25,$285.56
08/18/2022,$290.17,17186190,$290.189,$291.91,$289.08
08/17/2022,$291.32,18253360,$289.74,$293.35,$289.47
08/16/2022,$292.71,18102880,$291.99,$294.04,$290.42
08/15/2022,$293.47,18085650,$291,$294.18,$290.11
08/12/2022,$291.91,22619680,$288.48,$291.91,$286.94
08/11/2022,$287.02,20065940,$290.85,$291.21,$286.51
08/10/2022,$289.16,24687850,$288.17,$289.81,$286.94
08/09/2022,$282.3,23405240,$279.64,$283.08,$277.61
08/08/2022,$280.32,18757820,$284.05,$285.92,$279.32
08/05/2022,$282.91,16774610,$279.15,$283.65,$278.68
08/04/2022,$283.65,18098670,$281.8,$283.8,$280.1677
08/03/2022,$282.47,23518870,$276.76,$283.5,$276.61
08/02/2022,$274.82,22754180,$276,$277.89,$272.38
08/01/2022,$278.01,21539580,$277.82,$281.28,$275.84
07/29/2022,$280.74,32152750,$277.7,$282,$276.63
07/28/2022,$276.41,33459330,$269.75,$277.84,$267.87
07/27/2022,$268.74,45994050,$261.16,$270.05,$258.85
07/26/2022,$251.9,39347960,$259.86,$259.88,$249.57
07/25/2022,$258.83,21056000,$260.995,$261.5,$256.81
07/22/2022,$260.36,21881290,$265.24,$265.33,$259.07
07/21/2022,$264.84,22404680,$259.79,$264.89,$257.03
07/20/2022,$262.27,22788280,$259.9,$264.87,$258.91
07/19/2022,$259.53,25012560,$257.575,$259.72,$253.68
07/18/2022,$254.25,20975030,$259.75,$260.84,$253.3
07/15/2022,$256.72,29774050,$255.72,$260.3699,$254.7727
07/14/2022,$254.08,25102820,$250.57,$255.1374,$245.94
07/13/2022,$252.72,29497420,$250.19,$253.55,$248.11
07/12/2022,$253.67,35868450,$265.88,$265.94,$252.04
07/11/2022,$264.51,19519110,$265.65,$266.53,$262.18
07/08/2022,$267.66,19658750,$264.79,$268.1,$263.285
07/07/2022,$268.4,20859870,$265.12,$269.055,$265.02
07/06/2022,$266.21,23824420,$263.75,$267.99,$262.4
07/05/2022,$262.85,22971630,$256.16,$262.98,$254.74
07/01/2022,$259.58,22837690,$256.39,$259.77,$254.61
06/30/2022,$256.83,31730870,$257.05,$259.53,$252.9
06/29/2022,$260.26,20069840,$257.59,$261.97,$255.76
06/28/2022,$256.48,27380250,$263.98,$266.91,$256.32
