Date,Close/Last,Volume,Open,High,Low
08/24/2022,$86.05,4385983,$84.76,$86.475,$84.48
08/23/2022,$84.69,4560350,$84.85,$85.61,$84.58
08/22/2022,$84.95,5915201,$85.382,$85.55,$84.34
08/19/2022,$86.92,4597726,$87.77,$87.97,$86.55
08/18/2022,$88.55,3428312,$88.03,$88.78,$87.6846
08/17/2022,$88.35,3831252,$88.4,$89,$87.86
08/16/2022,$89.4,4580845,$88.78,$89.93,$88.54
08/15/2022,$89.16,5600991,$88.11,$89.25,$88.01
08/12/2022,$88.31,5153974,$87.305,$88.395,$87.19
08/11/2022,$87.27,5595696,$86.94,$87.55,$86.5
08/10/2022,$86.49,5072324,$86.5,$86.9,$86.09
08/09/2022,$84.84,3498395,$85.74,$85.83,$84.46
08/08/2022,$85.72,4885102,$86.15,$86.86,$85.42
08/05/2022,$85.73,4835081,$85.76,$86.15,$84.92
08/04/2022,$86.88,7086693,$87.21,$88.275,$86.57
08/03/2022,$87.27,12915670,$86.01,$87.965,$83.91
08/02/2022,$83.71,7254737,$84.7,$85.1439,$83.62
08/01/2022,$84.91,7313697,$84.19,$85.59,$84.03
07/29/2022,$84.78,5802700,$84.6,$84.98,$83.93
07/28/2022,$84.67,5594602,$83.19,$84.89,$82.82
07/27/2022,$82.96,6372575,$81.23,$83.405,$81.1212
07/26/2022,$80.31,6587009,$81.215,$81.42,$80
07/25/2022,$81.5,5861107,$83.59,$83.7,$81.035
07/22/2022,$83.59,6283617,$84.16,$84.43,$82.84
07/21/2022,$83.54,7695295,$82.95,$83.61,$82.6519
07/20/2022,$83.27,6850639,$82.48,$83.469,$81.8865
07/19/2022,$82.55,5949201,$81.11,$82.67,$80.91
07/18/2022,$80.23,6768756,$80.03,$81.665,$80
07/15/2022,$79.62,5584130,$78.615,$80.21,$78.615
07/14/2022,$78.2,4504473,$77.09,$78.37,$76.81
07/13/2022,$77.92,3897457,$75.986,$78.54,$75.73
07/12/2022,$77.76,5393394,$78.36,$79.44,$77.38
07/11/2022,$77.9,5351589,$78.85,$79.0488,$77.43
07/08/2022,$79.28,3927101,$78.69,$79.63,$78.27
07/07/2022,$79.24,5395567,$78.81,$79.65,$78.37
07/06/2022,$78.86,4652815,$79.83,$80.475,$78.175
07/05/2022,$79.52,8089606,$78.02,$79.55,$77.3604
07/01/2022,$79.26,7539232,$76.73,$79.47,$76.54
06/30/2022,$76.39,6781083,$76.01,$76.88,$74.87
06/29/2022,$76.43,8983863,$76.21,$77.15,$75.64
06/28/2022,$76.34,7210682,$78.39,$79.89,$76.19
06/27/2022,$77.68,6672167,$78,$78.44,$77.265
06/24/2022,$78.11,18011960,$75.66,$78.15,$75.55
06/23/2022,$75.2,6586431,$73.855,$75.36,$73.51
06/22/2022,$73.3,6703754,$72.37,$73.82,$72.22
06/21/2022,$72.96,7872541,$73.06,$73.17,$72.03
06/17/2022,$71.87,9824325,$71.08,$72.44,$70.77
06/16/2022,$70.95,10147030,$72.43,$72.61,$70.35
06/15/2022,$74.19,7682259,$73.25,$75.27,$73.1076
06/14/2022,$72.31,7635554,$72.85,$73.84,$71.53
06/13/2022,$72.36,9282753,$73.09,$74.01,$71.91
06/10/2022,$75.67,8695476,$77.02,$77.79,$75.66
06/09/2022,$78.91,13248100,$77.97,$80.27,$77.73
06/08/2022,$78.47,5178253,$78.9,$79.7698,$78.26
06/07/2022,$79.47,5517101,$78.57,$79.75,$78.26
06/06/2022,$78.98,7239429,$79.7,$81.2999,$78.53
06/03/2022,$79.05,10415720,$79,$79.9,$78.32
06/02/2022,$79.42,10241470,$76.54,$79.5,$75.85
06/01/2022,$76.28,7578950,$78.75,$78.88,$76.05
05/31/2022,$78.5,23361760,$76.97,$79.655,$76.55
05/27/2022,$76.71,8498381,$75.23,$76.72,$75.15
05/26/2022,$74.49,8940945,$72.95,$74.77,$72.87
05/25/2022,$72.48,8344364,$72.72,$73.5,$71.93
05/24/2022,$72.72,9227687,$72.97,$73.335,$71.265
05/23/2022,$73.42,10741900,$73.73,$74.27,$72.57
05/20/2022,$73.39,15941810,$72.88,$73.43,$71.46
05/19/2022,$71.93,11193710,$71.1,$72.42,$70.33
05/18/2022,$71.28,10576490,$73.15,$73.54,$70.78
05/17/2022,$73.72,12454510,$74.01,$74.35,$72.8362
05/16/2022,$72.42,11435310,$74.945,$75.44,$72.305
05/13/2022,$75.6,18156290,$71.88,$75.73,$71.88
05/12/2022,$69.9,15460620,$69.15,$70.03,$68.39
05/11/2022,$70.06,12118140,$71.545,$71.95,$69.96
05/10/2022,$71.86,14085860,$74.85,$75.05,$71.61
05/09/2022,$73.49,12863610,$75.24,$76.55,$73.33
05/06/2022,$76.52,11165780,$77.03,$77.2,$75.21
05/05/2022,$77.48,19114660,$80.425,$81.22,$77.13
05/04/2022,$81.64,30199660,$79.31,$82.87,$77.915
05/03/2022,$74.33,15570150,$75.72,$75.79,$73.38
05/02/2022,$75.37,12378950,$75.25,$75.72,$73.47
04/29/2022,$74.64,9199279,$76.02,$76.7699,$74.48
04/28/2022,$76.58,8818511,$75.62,$77.0999,$74.86
04/27/2022,$74.74,8467337,$75.38,$76.43,$74.68
04/26/2022,$75.63,8800454,$77.49,$77.58,$75.63
04/25/2022,$77.98,10258950,$77.38,$78.08,$76.73
04/22/2022,$77.92,10315530,$78.89,$79.48,$77.7808
04/21/2022,$78.96,8152543,$81.05,$81.19,$78.73
04/20/2022,$80.17,8368788,$81.31,$81.52,$80
04/19/2022,$81.22,8622146,$79.62,$81.54,$79.41
04/18/2022,$79.6,7797252,$79.04,$79.97,$78.88
04/14/2022,$79.5,9567236,$80.745,$81.08,$79.245
04/13/2022,$80.92,8604425,$79.88,$81.31,$79.61
04/12/2022,$79.79,8472525,$80.83,$81.27,$79.65
04/11/2022,$80.68,8623160,$80.88,$81.74,$80.29
04/08/2022,$81.52,9286775,$83.19,$83.19,$81.34
04/07/2022,$83.12,10869150,$82.99,$83.5,$81.45
04/06/2022,$83.36,10567050,$83.65,$83.89,$82.07
04/05/2022,$84.12,17525790,$86.56,$86.62,$83.82
04/04/2022,$88.09,16250600,$87.89,$88.46,$86.18
04/01/2022,$91.49,6516305,$91.5,$91.89,$90.48
03/31/2022,$90.97,11306060,$91.32,$92.63,$90.97
03/30/2022,$91.03,8122096,$90.75,$91.54,$90.3961
03/29/2022,$91.23,8963202,$89.7,$91.9,$89.66
03/28/2022,$88.38,5980992,$87.48,$88.42,$86.753
03/25/2022,$87.45,7049288,$87.39,$87.67,$86.215
03/24/2022,$87.12,6163402,$86.83,$87.15,$85.56
03/23/2022,$86.22,7670502,$87.364,$87.71,$86.1
03/22/2022,$87.89,8447376,$87.4,$89.095,$87.15
03/21/2022,$86.86,11925330,$89.605,$89.72,$85.97
03/18/2022,$89.6,23784200,$86.12,$89.75,$84.9822
03/17/2022,$87.66,8554159,$87.46,$87.95,$86.01
03/16/2022,$87.41,21207900,$88.01,$90.09,$85.62
03/15/2022,$83.12,12542260,$80.5,$83.44,$80.28
03/14/2022,$79.29,18199280,$82.315,$82.3395,$78.92
03/11/2022,$82.73,15351740,$88.35,$88.81,$82.54
03/10/2022,$87.16,9114348,$86.09,$87.36,$85.6
03/09/2022,$87.6,8811617,$86.5,$88.125,$86.33
03/08/2022,$84,10692040,$84.755,$86.92,$83.76
03/07/2022,$84.46,14608730,$90.04,$90.05,$84.35
03/04/2022,$90.03,7180081,$90.97,$91.16,$89.445
03/03/2022,$91.53,6587438,$93.48,$93.5,$91.08
03/02/2022,$92.77,10721120,$90.77,$93.28,$90.59
03/01/2022,$90.14,7100736,$91.49,$91.51,$89.65
02/28/2022,$91.79,8591544,$91.29,$92.31,$90.62
02/25/2022,$92.58,7039415,$91.3,$92.79,$90.28
02/24/2022,$91.01,9260494,$87.5,$91.2,$87.25
02/23/2022,$89.65,9674758,$93.88,$93.88,$89.44
02/22/2022,$93.11,8622481,$93.595,$94.04,$92.36
02/18/2022,$93.34,6210647,$92.56,$94.05,$92.53
02/17/2022,$93.05,6578223,$94.42,$94.63,$92.775
02/16/2022,$95.18,6545767,$94.34,$95.55,$93.16
02/15/2022,$94.51,7723938,$95.15,$95.46,$94.36
02/14/2022,$93.65,7948549,$93.75,$94.49,$92.42
02/11/2022,$93.73,6924787,$95.59,$96.49,$93.36
02/10/2022,$95.31,9098759,$95.46,$96.81,$94.98
02/09/2022,$97.13,9353726,$96.25,$97.972,$96.2
02/08/2022,$94.92,7161007,$95.29,$96.0267,$94.35
02/07/2022,$95.19,6849047,$95.35,$96.11,$94.88
02/04/2022,$95,8267571,$95.41,$95.94,$93.83
02/03/2022,$95.94,8901064,$96.84,$97.47,$95.67
